,contracts,total_value,avg_value,avg_sessions,top_status,top_operator
ALPHAVILLE,1652,0.0,,14.933414043583536,ATIVO,BRADESCO
BH,807,0.0,,12.565055762081784,ATIVO,BRADESCO REEMBOLSO
OSASCO,5,0.0,,12.2,ATIVO,AMIL
BRASILIA,1,0.0,,13.0,ATIVO,AMIL
DOMICILIAR,1622,0.0,,16.323057953144268,ATIVO,BRADESCO
SAO JOSE DOS CAMPOS,841,0.0,,16.274673008323425,ATIVO,SULAMERICA 
MORUMBI,59,0.0,,16.016949152542374,ATIVO,SULAMERICA 
LINS,65,0.0,,16.53846153846154,ATIVO,SULAMERICA 
PAULINIA,251,0.0,,16.302788844621514,ATIVO,VIVEST
CAMPINAS,194,0.0,,16.298969072164947,ATIVO,SULAMERICA
